epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4833333194255829,698.097412109375,0.001,0.5,127.04533386230469
1,0.4749999940395355,106.053466796875,0.001,0.5,85.68367767333984
2,0.5583333373069763,37.55807113647461,0.001,0.574999988079071,11.156448364257812
3,0.550000011920929,17.872364044189453,0.001,0.7749999761581421,8.315045356750488
4,0.5916666388511658,15.725391387939453,0.001,0.675000011920929,10.203266143798828
5,0.5583333373069763,10.270586013793945,0.001,0.6499999761581421,11.469053268432617
6,0.5416666865348816,5.197105884552002,0.001,0.675000011920929,3.6312057971954346
7,0.6333333253860474,3.0983920097351074,0.001,0.6499999761581421,6.0852484703063965
8,0.5666666626930237,2.9614875316619873,0.001,0.7250000238418579,3.8693478107452393
9,0.7166666388511658,2.0158934593200684,0.001,0.625,4.502094268798828
