epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5083333253860474,620.2012329101562,0.001,0.44999998807907104,677.8170166015625
1,0.574999988079071,246.54550170898438,0.001,0.550000011920929,173.25289916992188
2,0.4416666626930237,158.1124725341797,0.001,0.44999998807907104,153.70785522460938
3,0.5166666507720947,58.409847259521484,0.001,0.550000011920929,13.410146713256836
4,0.4749999940395355,15.981481552124023,0.001,0.550000011920929,14.705365180969238
5,0.4833333194255829,7.154462814331055,0.001,0.4749999940395355,5.634366989135742
6,0.5416666865348816,4.1845197677612305,0.001,0.5,5.526179313659668
7,0.5416666865348816,2.038769245147705,0.001,0.6499999761581421,1.4993493556976318
8,0.49166667461395264,2.0211336612701416,0.001,0.6000000238418579,1.2446664571762085
9,0.5583333373069763,1.2981990575790405,0.001,0.4749999940395355,2.413588762283325
