epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.4833333194255829,493.7231750488281,0.001,0.44999998807907104,149.81480407714844
1,0.44999998807907104,139.21157836914062,0.001,0.625,50.550392150878906
2,0.5249999761581421,47.99434280395508,0.001,0.6000000238418579,44.07447052001953
3,0.6000000238418579,30.93844985961914,0.001,0.699999988079071,13.843854904174805
4,0.5666666626930237,10.072728157043457,0.001,0.6000000238418579,15.300381660461426
5,0.6166666746139526,5.331022262573242,0.001,0.7250000238418579,2.9328043460845947
6,0.6499999761581421,7.047500133514404,0.001,0.699999988079071,6.362911224365234
7,0.6416666507720947,2.913522958755493,0.001,0.699999988079071,4.369707107543945
8,0.550000011920929,2.904802083969116,0.001,0.574999988079071,5.532464504241943
9,0.6666666865348816,1.9636237621307373,0.001,0.6499999761581421,3.840789794921875
