epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.5166666507720947,4022.7646484375,0.001,0.5249999761581421,951.98828125
1,0.4749999940395355,542.2503051757812,0.001,0.4749999940395355,287.2734375
2,0.5333333611488342,88.7343978881836,0.001,0.4749999940395355,50.83668899536133
3,0.5,46.004371643066406,0.001,0.44999998807907104,29.67731285095215
4,0.46666666865348816,23.572751998901367,0.001,0.42500001192092896,14.29035472869873
5,0.5083333253860474,17.122987747192383,0.001,0.5249999761581421,25.329761505126953
6,0.574999988079071,19.454736709594727,0.001,0.42500001192092896,15.318188667297363
7,0.550000011920929,15.307413101196289,0.001,0.625,5.2981390953063965
8,0.6333333253860474,5.836070537567139,0.001,0.625,3.4905478954315186
9,0.6416666507720947,4.099252223968506,0.001,0.699999988079071,2.3581430912017822
